Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-23,15.619378678565388,15.644881153080883,15.19433967856699,15.447474479675293,762106800,0.0,0.0
2013-09-24,15.580967180022826,15.59954210094562,15.358688582087755,15.398987770080566,364344400,0.0,0.0
2013-09-25,15.402139853012493,15.415991597898156,15.157506402731453,15.160654067993164,316957200,0.0,0.0
2013-09-26,15.301389404628866,15.381987795260734,15.235271619415315,15.30831527709961,237221600,0.0,0.0
2013-09-27,15.231488780888041,15.259510055379454,15.135147048842768,15.199060440063477,228040400,0.0,0.0
2013-09-30,15.025896408116642,15.164741692877636,14.936480549163932,15.010154724121094,260156400,0.0,0.0
2013-10-01,15.063680600324549,15.400248717876003,15.061476225944734,15.363097190856934,353883600,0.0,0.0
2013-10-02,15.289737786587734,15.483995109299427,15.230547565224477,15.413470268249512,289184000,0.0,0.0
2013-10-03,15.443379962520433,15.501312463716587,15.135779802776371,15.219841957092285,322753200,0.0,0.0
2013-10-04,15.23401517860988,15.25731328679411,15.068407934587569,15.207883834838867,258868400,0.0,0.0
2013-10-07,15.31901845917461,15.510756977412496,15.280921963386447,15.356484413146973,312292400,0.0,0.0
2013-10-08,15.425440374695253,15.447480763165292,15.129489140745639,15.142083168029785,290917200,0.0,0.0
2013-10-09,15.25856980269729,15.357744799590037,15.058329864581193,15.319964408874512,301725200,0.0,0.0
2013-10-10,15.46888572736687,15.502257366968987,15.3341313594023,15.415990829467773,278602800,0.0,0.0
2013-10-11,15.332558764719673,15.548225966607056,15.274942364511718,15.51579761505127,267738800,0.0,0.0
2013-10-14,15.421977780551654,15.665980745886236,15.406864948298425,15.617494583129883,261898000,0.0,0.0
2013-10-15,15.66377020604676,15.80513600030475,15.601117889517905,15.700607299804688,320073600,0.0,0.0
2013-10-16,15.767039650533794,15.821822805675945,15.717924646031102,15.777114868164062,251101200,0.0,0.0
2013-10-17,15.741538141767045,15.8926630526005,15.732093465381817,15.8838472366333,253593200,0.0,0.0
2013-10-18,15.930760062845112,16.033713260096743,15.9219442465948,16.022064208984375,290542000,0.0,0.0
2013-10-21,16.112737488011085,16.507236388495407,16.104866644843366,16.4146728515625,398106800,0.0,0.0
2013-10-22,16.573673538398435,16.63790138651994,15.994990681866657,16.367765426635742,534063600,0.0,0.0
2013-10-23,16.3403732403683,16.550375674547762,16.3403732403683,16.52802085876465,313723200,0.0,0.0
2013-10-24,16.529272915173788,16.76446161456182,16.448988980249393,16.746829986572266,384764800,0.0,0.0
2013-10-25,16.728256502952025,16.78839169853526,16.532739770840873,16.55950164794922,337792000,0.0,0.0
2013-10-28,16.656473007829437,16.71818372007019,16.472919747944168,16.682920455932617,550440800,0.0,0.0
2013-10-29,16.884105605009452,16.977928554922535,16.199950853573327,16.26732635498047,635807200,0.0,0.0
2013-10-30,16.359572826062557,16.608613261527058,16.278027809158196,16.526124954223633,354163600,0.0,0.0
2013-10-31,16.529274369228062,16.60767004877222,16.411837224272617,16.456859588623047,275696400,0.0,0.0
2013-11-01,16.49841558302771,16.522973077087578,16.240873803317495,16.372793197631836,274890000,0.0,0.0
2013-11-04,16.40648103231507,16.58657212557091,16.334382381573114,16.584367752075195,244627600,0.0,0.0
2013-11-05,16.516049134205723,16.651746749697057,16.46630359867035,16.543439865112305,265213200,0.0,0.0
2013-11-06,16.598865754115476,16.621351085000008,16.410440541691493,16.496578216552734,223375600,0.108929,0.0
2013-11-07,16.454146712998615,16.568467608566817,16.226135762812675,16.229618072509766,262620400,0.0,0.0
2013-11-08,16.295802285383566,16.503228835813616,16.23278247126713,16.485177993774414,279316800,0.0,0.0
2013-11-11,16.46712867323663,16.520330714883038,16.29042050280265,16.437360763549805,227452400,0.0,0.0
2013-11-12,16.39365764369521,16.59158438147506,16.372440757919478,16.467761993408203,204276800,0.0,0.0
2013-11-13,16.404102641063194,16.53869325271957,16.37116700935427,16.487390518188477,197220800,0.0,0.0
2013-11-14,16.55643497488283,16.761328065224294,16.52666706057058,16.725860595703125,282419200,0.0,0.0
2013-11-15,16.675821470654977,16.755307418907215,16.609635609577843,16.625469207763672,317920400,0.0,0.0
2013-11-18,16.625465801043877,16.695135648300308,16.41043874904157,16.424055099487305,244944000,0.0,0.0
2013-11-19,16.436720126839496,16.574476778947638,16.403151963614008,16.453187942504883,208938800,0.0,0.0
2013-11-20,16.44305944418925,16.480745842479507,16.28788612627285,16.30910301208496,193916800,0.0,0.0
2013-11-21,16.391440438109797,16.505763006012238,16.266985517637625,16.5035457611084,262026800,0.0,0.0
2013-11-22,16.45224187363629,16.53584603821464,16.420890946142734,16.461109161376953,223725600,0.0,0.0
2013-11-25,16.499740715830416,16.6533309678352,16.499108183905275,16.585878372192383,229311600,0.0,0.0
2013-11-26,16.597915621663063,16.97856801211081,16.594117046691075,16.891796112060547,401382800,0.0,0.0
2013-11-27,16.98395319206434,17.290817536802543,16.89179799406367,17.28955078125,363448400,0.0,0.0
2013-11-29,17.40102121015219,17.681283650140376,17.348135441478647,17.60971450805664,318127600,0.0,0.0
2013-12-02,17.670827024728304,17.87128549537805,17.4434504346882,17.45643424987793,472544800,0.0,0.0
2013-12-03,17.680328629188022,17.936208076602718,17.660694771459497,17.934307098388672,450968000,0.0,0.0
2013-12-04,17.908341147149702,18.025197197911258,17.760134174268035,17.892507553100586,377809600,0.0,0.0
